id;address;lat;lon;municipality_number;municipality_name;rooms;area;luxurious;price;price_per_m2;population;population_density;employees;proportion_foreigners;mean_taxable_income
0;Neuhusstrasse 6, 8630 Rüti ZH, ZH;47.25217056;8.845796585;118;Rüti (ZH);3;49;0;1441;29.41;12286;1221.272366;5053;24.84128276;65362.04268
1;Widacherstrasse 5, 8630 Rüti ZH, ZH;47.25208664;8.854919434;118;Rüti (ZH);3;111;0;2600;23.42;12286;1221.272366;5053;24.84128276;65362.04268
2;Widenweg 14, 8630 Rüti ZH, ZH;47.25366974;8.853993416;118;Rüti (ZH);3;58;0;1490;25.69;12286;1221.272366;5053;24.84128276;65362.04268
3;Rain 1, 8630 Rüti ZH, ZH;47.25983429;8.851704597;118;Rüti (ZH);4;118;0;3240;27.46;12286;1221.272366;5053;24.84128276;65362.04268
4;Bachtelstrasse 24b, 8630 Rüti ZH, ZH;47.26611328;8.866871834;118;Rüti (ZH);3;66;0;1450;21.97;12286;1221.272366;5053;24.84128276;65362.04268
5;Faegswilerstrasse 1, 8630 Rüti ZH, ZH;47.26417923;8.866929054;118;Rüti (ZH);2.5;61;0;1307;21.43;12286;1221.272366;5053;24.84128276;65362.04268
6;Zürcherstrasse 1, 8173 Neerach, ZH;47.51333237;8.474850655;88;Neerach;3.5;65;0;1850;28.46;3175;525.6622517;641;13.32283465;111422.3587
7;Vogtmühlestrasse 2, 8173 Neerach, ZH;47.51044464;8.469561577;88;Neerach;3.5;101;0;2420;23.96;3175;525.6622517;641;13.32283465;111422.3587
8;Vogtmühlestrasse 2, 8173 Neerach, ZH;47.51044464;8.469561577;88;Neerach;2.5;68;0;2060;30.29;3175;525.6622517;641;13.32283465;111422.3587
9;Steinmaurstrasse 19B, 8173 Neerach, ZH;47.51190186;8.470452309;88;Neerach;5.5;191;0;3400;17.8;3175;525.6622517;641;13.32283465;111422.3587
10;Rotachstrasse 33, 8003 Zürich, ZH;47.37079239;8.51474762;261;Zürich;2;49;0;4335;88.47;420217;4778.994655;491193;32.45846789;82932.7377
12;Maneggstrasse 87, 8041 Zürich, ZH;47.33791351;8.520033836;261;Zürich;3.5;98;0;3121;31.85;420217;4778.994655;491193;32.45846789;82932.7377
